node,resource_name,resource_code,direction,pol_min_power_of_unit,pol_min_power_of_unit_plant,pol_max_power_of_unit_plant,pol_max_power_of_unit,from_dtime,from_dtime_utc,to_dtime,to_dtime_utc,time_conditions,limiting_element,add_cond,business_date,publication_ts,publication_ts_utc,year,month,period
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-16,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-17,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-18,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-19,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2026-01-16,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2026-01-17,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2026-01-18,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2026-01-19,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Łagisza B10,,,1.0,,,,,,,,,,2026-01-16,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Łagisza B10,,,1.0,,,,,,,,,,2026-01-17,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Łagisza B10,,,1.0,,,,,,,,,,2026-01-18,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Łagisza B10,,,1.0,,,,,,,,,,2026-01-19,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Ostrołęka B B01, Ostrołęka B B02, Ostrołęka B B03",,,1.0,,,,,,,,,,2026-01-19,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Ostrołęka B B01, Ostrołęka B B02, Ostrołęka B B03",,,1.0,,,,,,,,,,2026-01-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Ostrołęka B B01, Ostrołęka B B02, Ostrołęka B B03",,,1.0,,,,,,,,,,2026-01-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Ostrołęka B B01, Ostrołęka B B02, Ostrołęka B B03",,,1.0,,,,,,,,,,2026-01-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Ostrołęka B B01, Ostrołęka B B02, Ostrołęka B B03",,,1.0,,,,,,,,,,2026-01-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-19,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"EC Karolin G2, EC Karolin G3",,,1.0,,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-19,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-19,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-29,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-30,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-29,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-23,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-24,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-25,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-26,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2026-01-23,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2026-01-24,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2026-01-25,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2026-01-26,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,Łagisza B10,,,1.0,,,,,,,,,,2026-01-23,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,Łagisza B10,,,1.0,,,,,,,,,,2026-01-24,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,Łagisza B10,,,1.0,,,,,,,,,,2026-01-25,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,Łagisza B10,,,1.0,,,,,,,,,,2026-01-26,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,Łagisza B10,,,1.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Rybnik B7, Rybnik B8",,,,,1.0,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Opole B1, Opole B2",,,,558.0,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Opole B1, Opole B2",,,,558.0,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Opole B1, Opole B2",,,,558.0,,,,,,,,,2026-01-29,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
